unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_38091,2020,ND,STEELE,-23.9,96,-19.6,-6.2,19.6,6.2,1.9,-17.7,-23.9,1088,28.3,1.6,44,0.3,20.6
2020_38095,2020,ND,TOWNER,-43.7,97.7,-27.9,-6.7,27.9,6.7,-9.1,-37,-43.7,1174,14.5,4.1000000000000005,21.8,1.2,35.3
2020_38103,2020,ND,WELLS,-61.1,98.4,-16.5,-3.3,16.5,3.3,-41.2,-57.8,-61.1,2374,22.2,0.2,27.4,2.1,18.9
2020_39001,2020,OH,ADAMS,-63.5,99,-29.7,-7.8,29.7,7.8,-26.1,-55.8,-63.5,12145,15.5,0.8,14.2,3.4,29.7
2020_39007,2020,OH,ASHTABULA,-23.5,98.3,-31.7,-4.6,31.7,4.6,12.8,-18.9,-23.5,44147,14.9,1.5,20.5,4,31.8
2020_39013,2020,OH,BELMONT,-43.6,98.8,-31.4,-4,31.4,4,-8.2,-39.6,-43.6,33088,16.2,1.2,23.5,3.1,36.5
2020_39015,2020,OH,BROWN,-57.4,98.9,-27.3,-5.2,27.3,5.2,-24.8,-52.1,-57.4,21096,14.3,0.5,28.000000000000004,2.5,26.5
2020_39019,2020,OH,CARROLL,-52.7,98.5,-33.3,-6.1,33.3,6.1,-13.4,-46.7,-52.7,14212,13.2,0.5,24.3,2.1,24.9
2020_39021,2020,OH,CHAMPAIGN,-47.7,98.4,-22.7,-3.3,22.7,3.3,-21.7,-44.4,-47.7,19972,15.9,1,30.1,3.6,28.6
2020_39023,2020,OH,CLARK,-23.3,98.3,-18.5,-4,18.5,4,-0.8,-19.3,-23.3,64212,18.9,1.9,23.4,4.1,32.4
2020_39029,2020,OH,COLUMBIANA,-44.9,98.4,-29.9,-3.2,29.9,3.2,-11.8,-41.7,-44.9,49860,14.5,1.2,21.7,3.4,32.1
2020_39031,2020,OH,COSHOCTON,-49,98.3,-34.3,-5.4,34.3,5.4,-9.2,-43.5,-49,16739,14.9,0.7000000000000001,21,3.5,29.1
2020_39033,2020,OH,CRAWFORD,-50.9,98.4,-24.8,-4.1,24.8,4.1,-21.9,-46.7,-50.9,20686,15.3,1.5,19.3,3.2,28.4
2020_39045,2020,OH,FAIRFIELD,-23.5,98.5,-11.2,3.2,11.2,3.2,-15.5,-26.7,-23.5,83311,29,3.8,38.9,2.5,31.2
2020_39047,2020,OH,FAYETTE,-51.5,98.7,-25.6,-4.4,25.6,4.4,-21.5,-47.1,-51.5,12612,15.2,1.7000000000000002,21.1,2.8,28.1
2020_39051,2020,OH,FULTON,-39.8,98.4,-23.5,-3.8,23.5,3.8,-12.5,-36,-39.8,22770,17,1.5,31.2,2.8,28.3
2020_39059,2020,OH,GUERNSEY,-48.4,98.7,-33.6,-5.6,33.6,5.6,-9.2,-42.8,-48.4,18230,15.1,0.8999999999999999,19.3,2.8,31.5
2020_39063,2020,OH,HANCOCK,-37.5,98.2,-12.8,2.9,12.8,2.9,-27.7,-40.5,-37.5,38771,27.6,3.9,28.1,2.4,34
2020_39065,2020,OH,HARDIN,-52,98.2,-24.1,-4.8,24.1,4.8,-23.1,-47.2,-52,13247,16,1.9,22.4,3,33.2
2020_39067,2020,OH,HARRISON,-52.6,98.8,-33.2,-4.4,33.2,4.4,-15,-48.2,-52.6,7655,12.4,0.8999999999999999,21.8,3,27.2
2020_39069,2020,OH,HENRY,-43.5,98.5,-21.5,-3.7,21.5,3.7,-18.3,-39.8,-43.5,14764,17.6,1.6,30.6,2.9,29.4
